Site;Depth;Quadrat;Genus;Species;Size;Status;Observations;Photo_Number
Moorea;6;1;Acropora;hyacinthus;Big;Dead;0;
Moorea;6;1;Acropora;hyacinthus;Big;Bleached;1;
Moorea;6;1;Acropora;hyacinthus;Big;Pale;0;
Moorea;6;1;Acropora;hyacinthus;Big;Healthy;0;
Moorea;6;1;Acropora;hyacinthus;Medium;Dead;0;
Moorea;6;1;Acropora;hyacinthus;Medium;Bleached;0;
Moorea;6;1;Acropora;hyacinthus;Medium;Pale;0;
Moorea;6;1;Acropora;hyacinthus;Medium;Healthy;0;
Moorea;6;1;Acropora;hyacinthus;Small;Dead;0;
Moorea;6;1;Acropora;hyacinthus;Small;Bleached;0;
Moorea;6;1;Acropora;hyacinthus;Small;Pale;0;
Moorea;6;1;Acropora;hyacinthus;Small;Healthy;0;
Moorea;6;1;Pocillopora;meandrina;Big;Dead;5;
Moorea;6;1;Pocillopora;meandrina;Big;Bleached;0;
Moorea;6;1;Pocillopora;meandrina;Big;Pale;0;
Moorea;6;1;Pocillopora;meandrina;Big;Healthy;0;
Moorea;6;1;Pocillopora;meandrina;Medium;Dead;3;
Moorea;6;1;Pocillopora;meandrina;Medium;Bleached;1;
Moorea;6;1;Pocillopora;meandrina;Medium;Pale;2;
Moorea;6;1;Pocillopora;meandrina;Medium;Healthy;0;
Moorea;6;1;Pocillopora;meandrina;Small;Dead;0;
Moorea;6;1;Pocillopora;meandrina;Small;Bleached;0;
Moorea;6;1;Pocillopora;meandrina;Small;Pale;0;
Moorea;6;1;Pocillopora;meandrina;Small;Healthy;0;
Moorea;6;1;Pocillopora;verrucosa;Big;Dead;2;
Moorea;6;1;Pocillopora;verrucosa;Big;Bleached;0;
Moorea;6;1;Pocillopora;verrucosa;Big;Pale;0;
Moorea;6;1;Pocillopora;verrucosa;Big;Healthy;0;
Moorea;6;1;Pocillopora;verrucosa;Medium;Dead;1;
Moorea;6;1;Pocillopora;verrucosa;Medium;Bleached;2;
Moorea;6;1;Pocillopora;verrucosa;Medium;Pale;1;
Moorea;6;1;Pocillopora;verrucosa;Medium;Healthy;3;
Moorea;6;1;Pocillopora;verrucosa;Small;Dead;0;
Moorea;6;1;Pocillopora;verrucosa;Small;Bleached;0;
Moorea;6;1;Pocillopora;verrucosa;Small;Pale;0;
Moorea;6;1;Pocillopora;verrucosa;Small;Healthy;0;
Moorea;6;1;Fungia;NA;Big;Dead;0;
Moorea;6;1;Fungia;NA;Big;Bleached;0;
Moorea;6;1;Fungia;NA;Big;Pale;0;
Moorea;6;1;Fungia;NA;Big;Healthy;0;
Moorea;6;1;Fungia;NA;Medium;Dead;0;
Moorea;6;1;Fungia;NA;Medium;Bleached;0;
Moorea;6;1;Fungia;NA;Medium;Pale;0;
Moorea;6;1;Fungia;NA;Medium;Healthy;1;
Moorea;6;1;Fungia;NA;Small;Dead;0;
Moorea;6;1;Fungia;NA;Small;Bleached;0;
Moorea;6;1;Fungia;NA;Small;Pale;0;
Moorea;6;1;Fungia;NA;Small;Healthy;0;
Moorea;6;2;Pocillopora;meandrina;Big;Dead;3;
Moorea;6;2;Pocillopora;meandrina;Big;Bleached;1;
Moorea;6;2;Pocillopora;meandrina;Big;Pale;0;
Moorea;6;2;Pocillopora;meandrina;Big;Healthy;0;
Moorea;6;2;Pocillopora;meandrina;Medium;Dead;0;
Moorea;6;2;Pocillopora;meandrina;Medium;Bleached;1;
Moorea;6;2;Pocillopora;meandrina;Medium;Pale;1;
Moorea;6;2;Pocillopora;meandrina;Medium;Healthy;0;
