"","Pressure_DBar","Dissolved_Oxygen","Temperature","Conductivity_Salinity","Fluorometry","PAR","PAR2","Temp2","PAR3","Temperature3","Temperature4"
"2",0.179,0.261,28.424,55.428,0.091,1205.09,1,1,NA,NA,NA
"3",0.23,0.261,28.47,56.944,0.111,1199.85,0.995651777045698,1.00161835068956,NA,NA,NA
"4",0.245,0.261,28.495,58.638,0.122,1215.569,1.00869561609506,1.0024978891078,NA,NA,NA
"5",0.248,0.265,28.514,58.638,0.134,1268.713,1.05279522691251,1.00316633830566,1292.45085714286,28.5004285714286,1.0026888745929
"6",0.253,0.265,28.525,58.63,0.144,1344.311,1.11552747097727,1.00355333520968,NA,NA,NA
"7",0.258,0.265,28.532,58.656,0.164,1392.216,1.15527968865396,1.00379960596679,NA,NA,NA
"8",0.274,0.265,28.543,58.65,0.178,1421.407,1.17950277572629,1.00418660287081,NA,NA,NA
"9",0.296,0.269,28.546,58.648,0.187,1331.587,1.10496892348289,1.004292147481,NA,NA,NA
"10",0.331,0.269,28.547,58.68,0.195,1320.359,1.0956517770457,1.00432732901773,1366.65957142857,28.5452857142857,1.00426701781191
"11",0.359,0.265,28.548,58.702,0.203,1379.491,1.14472031134604,1.00436251055446,NA,NA,NA
"12",0.392,0.269,28.55,58.724,0.207,1381.737,1.1465840725589,1.00443287362792,NA,NA,NA
"13",0.416,0.269,28.551,58.732,0.206,1339.82,1.1118007783651,1.00446805516465,NA,NA,NA
"14",0.458,0.273,28.555,58.724,0.204,1339.072,1.11118007783651,1.00460878131157,NA,NA,NA
"15",0.507,0.277,28.555,58.724,0.203,1366.766,1.13416093403812,1.00460878131157,1353.29342857143,28.5554285714286,1.00462385911302
"16",0.569,0.297,28.561,58.722,0.203,1374.252,1.14037291820528,1.00481987053194,NA,NA,NA
"17",0.64,0.325,28.557,58.674,0.202,1354.79,1.12422308707233,1.00467914438503,NA,NA,NA
"18",0.695,0.389,28.559,58.796,0.195,1316.617,1.09254661477566,1.00474950745849,NA,NA,NA
"19",0.745,0.373,28.561,58.802,0.194,1295.659,1.07515538258553,1.00481987053194,NA,NA,NA
"20",0.777,0.357,28.561,58.818,0.194,1261.228,1.0465840725589,1.00481987053194,1276.51842857143,28.5597142857143,1.00477463712758
"21",0.8,0.357,28.559,58.82,0.191,1233.533,1.02360238654374,1.00474950745849,NA,NA,NA
