Island;Site;Depth;Time;Quantum;IndexLoss
Makatea;TUAMAK1;6;07:00:00;19.28291263;100
Makatea;TUAMAK1;6;08:00:00;56.69169128;100
Makatea;TUAMAK1;6;09:00:00;147.0996375;100
Makatea;TUAMAK1;6;10:00:00;181.8394558;100
Makatea;TUAMAK1;6;11:00:00;186.6340557;100
Makatea;TUAMAK1;6;12:00:00;233.7923041;100
Makatea;TUAMAK1;6;13:00:00;273.3775166;100
Makatea;TUAMAK1;6;14:00:00;223.0489952;100
Makatea;TUAMAK1;6;15:00:00;151.359504;100
Makatea;TUAMAK1;6;16:00:00;114.4603762;100
Makatea;TUAMAK1;6;17:00:00;26.72668811;100
Makatea;TUAMAK1;20;07:00:00;12.016667;62.31769665
Makatea;TUAMAK1;20;08:00:00;35.066667;61.85503768
Makatea;TUAMAK1;20;09:00:00;72.916667;49.56957627
Makatea;TUAMAK1;20;10:00:00;99.75;54.85608147
Makatea;TUAMAK1;20;11:00:00;117.9;63.17175049
Makatea;TUAMAK1;20;12:00:00;153.2;65.52824765
Makatea;TUAMAK1;20;13:00:00;181.8;66.50144543
Makatea;TUAMAK1;20;14:00:00;146.216667;65.55360936
Makatea;TUAMAK1;20;15:00:00;98.383333;64.99977232
Makatea;TUAMAK1;20;16:00:00;71.4;62.37966567
Makatea;TUAMAK1;20;17:00:00;17.1;63.98099133
Makatea;TUAMAK1;40;07:00:00;4.666667;24.2010483
Makatea;TUAMAK1;40;08:00:00;13.416667;23.66602001
Makatea;TUAMAK1;40;09:00:00;17.916667;12.1799532
Makatea;TUAMAK1;40;10:00:00;30.016667;16.50723539
Makatea;TUAMAK1;40;11:00:00;47.05;25.20976133
Makatea;TUAMAK1;40;12:00:00;65.783333;28.13751003
Makatea;TUAMAK1;40;13:00:00;80.4;29.40988016
Makatea;TUAMAK1;40;14:00:00;62.833333;28.17019325
Makatea;TUAMAK1;40;15:00:00;41.566667;27.46221142
Makatea;TUAMAK1;40;16:00:00;27.78333;24.27331704
Makatea;TUAMAK1;40;17:00:00;7;26.19104908
Makatea;TUAMAK1;60;07:00:00;2.908159385;15.08153586
Makatea;TUAMAK1;60;08:00:00;8.298884428;14.63862559
Makatea;TUAMAK1;60;09:00:00;8.881215914;6.03755119
Makatea;TUAMAK1;60;10:00:00;16.4659673;9.055222495
Makatea;TUAMAK1;60;11:00:00;29.7223086;15.92544752
Makatea;TUAMAK1;60;12:00:00;43.10666536;18.43801725
Makatea;TUAMAK1;60;13:00:00;53.46716213;19.5579954
Makatea;TUAMAK1;60;14:00:00;41.18951766;18.46657844
Makatea;TUAMAK1;60;15:00:00;27.01823891;17.8503749
Makatea;TUAMAK1;60;16:00:00;17.33114837;15.14161402
Makatea;TUAMAK1;60;17:00:00;4.478669393;16.75729284
Makatea;TUAMAK1;90;07:00:00;2.033333;10.54473999
Makatea;TUAMAK1;90;08:00:00;4.166667;7.34969606
Makatea;TUAMAK1;90;09:00:00;5.383333;3.659650759
Makatea;TUAMAK1;90;10:00:00;7.416667;4.078689616
Makatea;TUAMAK1;90;11:00:00;8.733333;4.679388746
Makatea;TUAMAK1;90;12:00:00;10.65;4.55532531
Makatea;TUAMAK1;90;13:00:00;13.316667;4.871163937
Makatea;TUAMAK1;90;14:00:00;12.2;5.469650284
Makatea;TUAMAK1;90;15:00:00;8.3;5.483633191
Makatea;TUAMAK1;90;16:00:00;5.7;4.979889276
Makatea;TUAMAK1;90;17:00:00;2.15;8.044393647
Makatea;TUAMAK1;120;07:00:00;1.333333;6.914583006
Makatea;TUAMAK1;120;08:00:00;1.833333;3.23386542
Makatea;TUAMAK1;120;09:00:00;2.316667;1.574896471
Makatea;TUAMAK1;120;10:00:00;3.05;1.677303744
Makatea;TUAMAK1;120;11:00:00;3.333333;1.786026129
Makatea;TUAMAK1;120;12:00:00;3.733333;1.596858808
Makatea;TUAMAK1;120;13:00:00;4.366667;1.5973029
Makatea;TUAMAK1;120;14:00:00;3.883333;1.741022414
Makatea;TUAMAK1;120;15:00:00;2.966667;1.96001369
Makatea;TUAMAK1;120;16:00:00;1.9;1.659963092
Makatea;TUAMAK1;120;17:00:00;1.333333;4.988770007
