// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P015
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=956
StartTime=2019/06/07 09:00:00
EndTime=2019/06/10 17:55:00
StopTime=2019/06/10 17:57:53
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.39
Ch1=+8.768397e+03,-1.351438e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2019/06/07 09:00:00,31.6,1.46,
2019/06/07 09:05:00,35.2,1.46,
2019/06/07 09:10:00,37.0,1.45,
2019/06/07 09:15:00,24.1,1.46,
2019/06/07 09:20:00,24.3,1.46,
2019/06/07 09:25:00,2.4,1.46,
2019/06/07 09:30:00,2.0,1.46,
2019/06/07 09:35:00,2.3,1.46,
2019/06/07 09:40:00,2.3,1.46,
2019/06/07 09:45:00,1.7,1.46,
2019/06/07 09:50:00,4.6,1.47,
2019/06/07 09:55:00,4.9,1.46,
2019/06/07 10:00:00,8.8,1.46,
2019/06/07 10:05:00,2.4,1.46,
2019/06/07 10:10:00,1.6,1.25,
2019/06/07 10:15:00,1.7,1.44,
2019/06/07 10:20:00,1.9,1.44,
2019/06/07 10:25:00,2.3,1.44,
2019/06/07 10:30:00,1.9,1.44,
2019/06/07 10:35:00,2.0,1.44,
2019/06/07 10:40:00,1.7,1.44,
2019/06/07 10:45:00,1.9,1.44,
2019/06/07 10:50:00,2.0,1.44,
2019/06/07 10:55:00,1.4,1.47,
2019/06/07 11:00:00,1.7,1.47,
2019/06/07 11:05:00,2.9,1.47,
2019/06/07 11:10:00,4.2,1.47,
2019/06/07 11:15:00,14.2,1.41,
2019/06/07 11:20:00,230.9,1.47,
2019/06/07 11:25:00,228.5,1.47,
2019/06/07 11:30:00,82.7,1.47,
2019/06/07 11:35:00,233.5,1.47,
2019/06/07 11:40:00,181.3,1.47,
2019/06/07 11:45:00,91.4,1.47,
2019/06/07 11:50:00,233.4,1.47,
