Island;Site;Depth;Time;Quantum;IndexLoss
Moorea;SOCMOO1;6;07:00:00;47.23053219;100
Moorea;SOCMOO1;6;08:00:00;141.1124395;100
Moorea;SOCMOO1;6;09:00:00;258.6958031;100
Moorea;SOCMOO1;6;10:00:00;366.452055;100
Moorea;SOCMOO1;6;11:00:00;331.4723215;100
Moorea;SOCMOO1;6;12:00:00;309.743944;100
Moorea;SOCMOO1;6;13:00:00;244.1455921;100
Moorea;SOCMOO1;6;14:00:00;320.6634376;100
Moorea;SOCMOO1;6;15:00:00;206.5122671;100
Moorea;SOCMOO1;6;16:00:00;92.4327618;100
Moorea;SOCMOO1;6;17:00:00;42.63381551;100
Moorea;SOCMOO1;20;07:00:00;30.983333;65.60021995
Moorea;SOCMOO1;20;08:00:00;90.683333;64.26317433
Moorea;SOCMOO1;20;09:00:00;169.616667;65.56606833
Moorea;SOCMOO1;20;10:00:00;226.96667;61.93625248
Moorea;SOCMOO1;20;11:00:00;225.766667;68.1102621
Moorea;SOCMOO1;20;12:00:00;210.66667;68.01316833
Moorea;SOCMOO1;20;13:00:00;166.06667;68.01952417
Moorea;SOCMOO1;20;14:00:00;206.416667;64.37175018
Moorea;SOCMOO1;20;15:00:00;134.73333;65.24228894
Moorea;SOCMOO1;20;16:00:00;62.566667;67.68884298
Moorea;SOCMOO1;20;17:00:00;27.533333;64.58097327
Moorea;SOCMOO1;40;07:00:00;13.333333;28.23032556
Moorea;SOCMOO1;40;08:00:00;37.45;26.53912024
Moorea;SOCMOO1;40;09:00:00;72.916667;28.1862582
Moorea;SOCMOO1;40;10:00:00;87.06667;23.75936192
Moorea;SOCMOO1;40;11:00:00;104.733333;31.59640374
Moorea;SOCMOO1;40;12:00:00;97.45;31.46147064
Moorea;SOCMOO1;40;13:00:00;76.83333;31.4702917
Moorea;SOCMOO1;40;14:00:00;85.533333;26.67386517
Moorea;SOCMOO1;40;15:00:00;57.35;27.77074738
Moorea;SOCMOO1;40;16:00:00;28.666667;31.01353507
Moorea;SOCMOO1;40;17:00:00;11.483333;26.93480014
Moorea;SOCMOO1;60;07:00:00;6.833333;14.4680415
Moorea;SOCMOO1;60;08:00:00;17.133333;12.14161775
Moorea;SOCMOO1;60;09:00:00;33.2;12.83360596
Moorea;SOCMOO1;60;10:00:00;36.65;10.00130836
Moorea;SOCMOO1;60;11:00:00;49.483333;14.92834538
Moorea;SOCMOO1;60;12:00:00;45.98333;14.84559453
Moorea;SOCMOO1;60;13:00:00;47.53333;19.46925586
Moorea;SOCMOO1;60;14:00:00;45.533333;14.19972708
Moorea;SOCMOO1;60;15:00:00;28.51667;13.80870512
Moorea;SOCMOO1;60;16:00:00;13.933333;15.07402
Moorea;SOCMOO1;60;17:00:00;6.616667;15.51976271
Moorea;SOCMOO1;90;07:00:00;2.516667;5.328474788
Moorea;SOCMOO1;90;08:00:00;5.266667;3.732248566
Moorea;SOCMOO1;90;09:00:00;10.716667;4.142574744
Moorea;SOCMOO1;90;10:00:00;10.96667;2.992661618
Moorea;SOCMOO1;90;11:00:00;15.35;4.630854223
Moorea;SOCMOO1;90;12:00:00;14.61667;4.718952633
Moorea;SOCMOO1;90;13:00:00;14.13333;5.788894192
Moorea;SOCMOO1;90;14:00:00;12.55;3.913760824
Moorea;SOCMOO1;90;15:00:00;8.9;4.309671345
Moorea;SOCMOO1;90;16:00:00;4.9;5.301150701
Moorea;SOCMOO1;90;17:00:00;2.466667;5.785705479
Moorea;SOCMOO1;120;07:00:00;1.366667;2.893609148
Moorea;SOCMOO1;120;08:00:00;1.783333;1.263767394
Moorea;SOCMOO1;120;09:00:00;3.266667;1.26274449
Moorea;SOCMOO1;120;10:00:00;3.3;0.900527083
Moorea;SOCMOO1;120;11:00:00;4.333333;1.307298594
Moorea;SOCMOO1;120;12:00:00;4.2;1.355958714
Moorea;SOCMOO1;120;13:00:00;3.6;1.474530001
Moorea;SOCMOO1;120;14:00:00;3.333333;1.039511403
Moorea;SOCMOO1;120;15:00:00;2.55;1.234793475
Moorea;SOCMOO1;120;16:00:00;1.766667;1.911299593
Moorea;SOCMOO1;120;17:00:00;1.366667;3.205593925
