TimeStamp;Quantum [umol/(m^2s)];Batt. [V]
21/08/2018 10:00;1.4;1.54
21/08/2018 10:15;1.5;1.54
21/08/2018 10:30;1.3;1.54
21/08/2018 10:45;1.3;1.53
21/08/2018 11:00;1.6;1.53
21/08/2018 11:15;1.5;1.53
21/08/2018 11:30;7.4;1.53
21/08/2018 11:45;3.9;1.53
21/08/2018 12:00;3.3;1.53
21/08/2018 12:15;3.7;1.53
21/08/2018 12:30;1.6;1.53
21/08/2018 12:45;1.9;1.53
21/08/2018 13:00;3.8;1.52
21/08/2018 13:15;1.7;1.53
21/08/2018 13:30;3.5;1.52
21/08/2018 13:45;3.4;1.52
21/08/2018 14:00;3.1;1.52
21/08/2018 14:15;2.8;1.52
21/08/2018 14:30;2.5;1.52
21/08/2018 14:45;2.2;1.52
21/08/2018 15:00;2;1.52
21/08/2018 15:15;1.8;1.52
21/08/2018 15:30;1.6;1.52
21/08/2018 15:45;1.5;1.52
21/08/2018 16:00;1.5;1.52
21/08/2018 16:15;1.4;1.52
21/08/2018 16:30;1.4;1.52
21/08/2018 16:45;1.4;1.52
21/08/2018 17:00;1.4;1.52
21/08/2018 17:15;1.4;1.52
21/08/2018 17:30;1.3;1.51
21/08/2018 17:45;1.2;1.51
21/08/2018 18:00;1.2;1.51
21/08/2018 18:15;1.2;1.51
21/08/2018 18:30;1.2;1.51
21/08/2018 18:45;1.2;1.51
21/08/2018 19:00;1.2;1.51
21/08/2018 19:15;1.2;1.51
21/08/2018 19:30;1.2;1.51
21/08/2018 19:45;1.2;1.51
21/08/2018 20:00;1.2;1.51
21/08/2018 20:15;1.2;1.51
21/08/2018 20:30;1.2;1.51
21/08/2018 20:45;1.2;1.51
21/08/2018 21:00;1.2;1.51
21/08/2018 21:15;1.2;1.51
21/08/2018 21:30;1.2;1.51
21/08/2018 21:45;1.2;1.51
21/08/2018 22:00;1.2;1.51
21/08/2018 22:15;1.2;1.51
21/08/2018 22:30;1.2;1.51
21/08/2018 22:45;1.2;1.51
21/08/2018 23:00;1.1;1.51
21/08/2018 23:15;1.2;1.51
21/08/2018 23:30;1.2;1.51
21/08/2018 23:45;1.2;1.51
22/08/2018 00:00;1.2;1.51
22/08/2018 00:15;1.2;1.51
22/08/2018 00:30;1.2;1.51
22/08/2018 00:45;1.2;1.51
22/08/2018 01:00;1.2;1.51
22/08/2018 01:15;1.1;1.51
22/08/2018 01:30;1.2;1.51
22/08/2018 01:45;1.1;1.51
22/08/2018 02:00;1.2;1.51
22/08/2018 02:15;1.1;1.51
22/08/2018 02:30;1.2;1.51
22/08/2018 02:45;1.2;1.51
22/08/2018 03:00;1.1;1.51
22/08/2018 03:15;1.2;1.51
22/08/2018 03:30;1.2;1.51
22/08/2018 03:45;1.2;1.51
22/08/2018 04:00;1.1;1.51
22/08/2018 04:15;1.2;1.51
22/08/2018 04:30;1.2;1.51
22/08/2018 04:45;1.2;1.51
22/08/2018 05:00;1.2;1.51
22/08/2018 05:15;1.2;1.51
22/08/2018 05:30;1.2;1.51
22/08/2018 05:45;1.2;1.51
22/08/2018 06:00;1.2;1.51
22/08/2018 06:15;1.1;1.51
22/08/2018 06:30;1.3;1.51
22/08/2018 06:45;1.3;1.51
22/08/2018 07:00;1.4;1.51
22/08/2018 07:15;1.6;1.51
22/08/2018 07:30;1.8;1.51
22/08/2018 07:45;2.8;1.51
22/08/2018 08:00;2.8;1.51
22/08/2018 08:15;3.3;1.51
22/08/2018 08:30;3.6;1.51
22/08/2018 08:45;4;1.51
22/08/2018 09:00;4.4;1.51
22/08/2018 09:15;2.2;1.51
22/08/2018 09:30;5.4;1.51
22/08/2018 09:45;3.5;1.51
22/08/2018 10:00;3.4;1.51
22/08/2018 10:15;8.5;1.51
22/08/2018 10:30;4.5;1.51
22/08/2018 10:45;7.4;1.51
22/08/2018 11:00;5;1.51
22/08/2018 11:15;7.8;1.51
22/08/2018 11:30;5.5;1.51
22/08/2018 11:45;3.9;1.51
22/08/2018 12:00;5.1;1.51
