"","Depth","Island","Site","Time","Quantum","IndexLoss","Median","Mean","Max","Min"
"1",6,"Moorea","SOCMOO1","10:00:00",366.452055,100,315.2036908,296.49826955,366.452055,206.5122671
"2",6,"Moorea","SOCMOO1","11:00:00",331.4723215,100,315.2036908,296.49826955,366.452055,206.5122671
"3",6,"Moorea","SOCMOO1","12:00:00",309.743944,100,315.2036908,296.49826955,366.452055,206.5122671
"4",6,"Moorea","SOCMOO1","13:00:00",244.1455921,100,315.2036908,296.49826955,366.452055,206.5122671
"5",6,"Moorea","SOCMOO1","14:00:00",320.6634376,100,315.2036908,296.49826955,366.452055,206.5122671
"6",6,"Moorea","SOCMOO1","15:00:00",206.5122671,100,315.2036908,296.49826955,366.452055,206.5122671
"7",20,"Moorea","SOCMOO1","10:00:00",226.96667,61.93625248,208.5416685,195.102779,226.96667,134.73333
"8",20,"Moorea","SOCMOO1","11:00:00",225.766667,68.1102621,208.5416685,195.102779,226.96667,134.73333
"9",20,"Moorea","SOCMOO1","12:00:00",210.66667,68.01316833,208.5416685,195.102779,226.96667,134.73333
"10",20,"Moorea","SOCMOO1","13:00:00",166.06667,68.01952417,208.5416685,195.102779,226.96667,134.73333
"11",20,"Moorea","SOCMOO1","14:00:00",206.416667,64.37175018,208.5416685,195.102779,226.96667,134.73333
"12",20,"Moorea","SOCMOO1","15:00:00",134.73333,65.24228894,208.5416685,195.102779,226.96667,134.73333
"13",40,"Moorea","SOCMOO1","10:00:00",87.06667,23.75936192,86.3000015,84.8277776666667,104.733333,57.35
"14",40,"Moorea","SOCMOO1","11:00:00",104.733333,31.59640374,86.3000015,84.8277776666667,104.733333,57.35
"15",40,"Moorea","SOCMOO1","12:00:00",97.45,31.46147064,86.3000015,84.8277776666667,104.733333,57.35
"16",40,"Moorea","SOCMOO1","13:00:00",76.83333,31.4702917,86.3000015,84.8277776666667,104.733333,57.35
"17",40,"Moorea","SOCMOO1","14:00:00",85.533333,26.67386517,86.3000015,84.8277776666667,104.733333,57.35
"18",40,"Moorea","SOCMOO1","15:00:00",57.35,27.77074738,86.3000015,84.8277776666667,104.733333,57.35
"19",60,"Moorea","SOCMOO1","10:00:00",36.65,10.00130836,45.7583315,42.2833326666667,49.483333,28.51667
"20",60,"Moorea","SOCMOO1","11:00:00",49.483333,14.92834538,45.7583315,42.2833326666667,49.483333,28.51667
"21",60,"Moorea","SOCMOO1","12:00:00",45.98333,14.84559453,45.7583315,42.2833326666667,49.483333,28.51667
"22",60,"Moorea","SOCMOO1","13:00:00",47.53333,19.46925586,45.7583315,42.2833326666667,49.483333,28.51667
"23",60,"Moorea","SOCMOO1","14:00:00",45.533333,14.19972708,45.7583315,42.2833326666667,49.483333,28.51667
"24",60,"Moorea","SOCMOO1","15:00:00",28.51667,13.80870512,45.7583315,42.2833326666667,49.483333,28.51667
"25",90,"Moorea","SOCMOO1","10:00:00",10.96667,2.992661618,13.341665,12.7527783333333,15.35,8.9
"26",90,"Moorea","SOCMOO1","11:00:00",15.35,4.630854223,13.341665,12.7527783333333,15.35,8.9
"27",90,"Moorea","SOCMOO1","12:00:00",14.61667,4.718952633,13.341665,12.7527783333333,15.35,8.9
"28",90,"Moorea","SOCMOO1","13:00:00",14.13333,5.788894192,13.341665,12.7527783333333,15.35,8.9
"29",90,"Moorea","SOCMOO1","14:00:00",12.55,3.913760824,13.341665,12.7527783333333,15.35,8.9
"30",90,"Moorea","SOCMOO1","15:00:00",8.9,4.309671345,13.341665,12.7527783333333,15.35,8.9
"31",120,"Moorea","SOCMOO1","10:00:00",3.3,0.900527083,3.4666665,3.55277766666667,4.333333,2.55
"32",120,"Moorea","SOCMOO1","11:00:00",4.333333,1.307298594,3.4666665,3.55277766666667,4.333333,2.55
"33",120,"Moorea","SOCMOO1","12:00:00",4.2,1.355958714,3.4666665,3.55277766666667,4.333333,2.55
"34",120,"Moorea","SOCMOO1","13:00:00",3.6,1.474530001,3.4666665,3.55277766666667,4.333333,2.55
"35",120,"Moorea","SOCMOO1","14:00:00",3.333333,1.039511403,3.4666665,3.55277766666667,4.333333,2.55
"36",120,"Moorea","SOCMOO1","15:00:00",2.55,1.234793475,3.4666665,3.55277766666667,4.333333,2.55
