"Plot Title: 20401625-MAK1_90M"
"#","Date Time, GMT-11:00","Temp, °C (LGR S/N: 20401625, SEN S/N: 20401625)","Coupler Detached (LGR S/N: 20401625)","Coupler Attached (LGR S/N: 20401625)","Host Connected (LGR S/N: 20401625)","Stopped (LGR S/N: 20401625)","End Of File (LGR S/N: 20401625)"
1,19/06/07 09:00:00,31.791,Logged,,,,
2,19/06/07 09:05:00,31.842,,,,,
3,19/06/07 09:10:00,31.637,,,,,
4,19/06/07 09:15:00,32.613,,,,,
5,19/06/07 09:20:00,33.443,,,,,
6,19/06/07 09:25:00,32.742,,,,,
7,19/06/07 09:30:00,31.765,,,,,
8,19/06/07 09:35:00,30.950,,,,,
9,19/06/07 09:40:00,30.293,,,,,
10,19/06/07 09:45:00,29.790,,,,,
11,19/06/07 09:50:00,29.490,,,,,
12,19/06/07 09:55:00,29.090,,,,,
13,19/06/07 10:00:00,28.791,,,,,
14,19/06/07 10:05:00,28.742,,,,,
15,19/06/07 10:10:00,28.742,,,,,
16,19/06/07 10:15:00,28.692,,,,,
17,19/06/07 10:20:00,28.593,,,,,
18,19/06/07 10:25:00,27.579,,,,,
19,19/06/07 10:30:00,27.579,,,,,
20,19/06/07 10:35:00,27.751,,,,,
21,19/06/07 10:40:00,27.653,,,,,
22,19/06/07 10:45:00,27.776,,,,,
23,19/06/07 10:50:00,28.122,,,,,
24,19/06/07 10:55:00,27.776,,,,,
25,19/06/07 11:00:00,27.530,,,,,
26,19/06/07 11:05:00,27.604,,,,,
27,19/06/07 11:10:00,27.579,,,,,
28,19/06/07 11:15:00,27.530,,,,,
29,19/06/07 11:20:00,27.949,,,,,
30,19/06/07 11:25:00,28.122,,,,,
31,19/06/07 11:30:00,28.221,,,,,
32,19/06/07 11:35:00,28.419,,,,,
33,19/06/07 11:40:00,28.543,,,,,
34,19/06/07 11:45:00,28.543,,,,,
35,19/06/07 11:50:00,28.543,,,,,
36,19/06/07 11:55:00,28.444,,,,,
37,19/06/07 12:00:00,28.320,,,,,
38,19/06/07 12:05:00,28.295,,,,,
39,19/06/07 12:10:00,28.468,,,,,
40,19/06/07 12:15:00,28.593,,,,,
41,19/06/07 12:20:00,28.617,,,,,
42,19/06/07 12:25:00,28.617,,,,,
43,19/06/07 12:30:00,28.617,,,,,
44,19/06/07 12:35:00,28.593,,,,,
45,19/06/07 12:40:00,28.593,,,,,
46,19/06/07 12:45:00,28.593,,,,,
47,19/06/07 12:50:00,28.617,,,,,
48,19/06/07 12:55:00,28.617,,,,,
49,19/06/07 13:00:00,28.617,,,,,
50,19/06/07 13:05:00,28.617,,,,,
51,19/06/07 13:10:00,28.568,,,,,
52,19/06/07 13:15:00,28.468,,,,,
53,19/06/07 13:20:00,28.518,,,,,
54,19/06/07 13:25:00,28.270,,,,,
55,19/06/07 13:30:00,27.702,,,,,
56,19/06/07 13:35:00,27.554,,,,,
57,19/06/07 13:40:00,27.481,,,,,
58,19/06/07 13:45:00,27.284,,,,,
59,19/06/07 13:50:00,27.284,,,,,
60,19/06/07 13:55:00,27.210,,,,,
61,19/06/07 14:00:00,27.136,,,,,
62,19/06/07 14:05:00,27.112,,,,,
63,19/06/07 14:10:00,27.136,,,,,
64,19/06/07 14:15:00,27.161,,,,,
65,19/06/07 14:20:00,27.308,,,,,
66,19/06/07 14:25:00,27.284,,,,,
67,19/06/07 14:30:00,27.087,,,,,
68,19/06/07 14:35:00,27.014,,,,,
69,19/06/07 14:40:00,27.038,,,,,
70,19/06/07 14:45:00,27.063,,,,,
71,19/06/07 14:50:00,27.112,,,,,
72,19/06/07 14:55:00,27.087,,,,,
73,19/06/07 15:00:00,27.014,,,,,
74,19/06/07 15:05:00,26.989,,,,,
75,19/06/07 15:10:00,26.989,,,,,
76,19/06/07 15:15:00,26.989,,,,,
77,19/06/07 15:20:00,26.989,,,,,
78,19/06/07 15:25:00,26.989,,,,,
79,19/06/07 15:30:00,26.891,,,,,
80,19/06/07 15:35:00,26.891,,,,,
81,19/06/07 15:40:00,26.940,,,,,
82,19/06/07 15:45:00,27.087,,,,,
83,19/06/07 15:50:00,27.259,,,,,
84,19/06/07 15:55:00,27.998,,,,,
85,19/06/07 16:00:00,27.530,,,,,
86,19/06/07 16:05:00,28.023,,,,,
87,19/06/07 16:10:00,28.320,,,,,
88,19/06/07 16:15:00,28.345,,,,,
89,19/06/07 16:20:00,28.419,,,,,
90,19/06/07 16:25:00,28.419,,,,,
91,19/06/07 16:30:00,28.419,,,,,
92,19/06/07 16:35:00,28.444,,,,,
93,19/06/07 16:40:00,28.444,,,,,
94,19/06/07 16:45:00,28.444,,,,,
95,19/06/07 16:50:00,28.444,,,,,
96,19/06/07 16:55:00,28.419,,,,,
97,19/06/07 17:00:00,28.270,,,,,
98,19/06/07 17:05:00,28.122,,,,,
99,19/06/07 17:10:00,28.147,,,,,
100,19/06/07 17:15:00,28.171,,,,,
